food_name;group_id;food_calories;protein;carbohydrates;fat;fiber;sugars;sodium
公仔麵;1;473;61.6;0;21.1;9.5;0.7;1144
意大利粉;1;124;26.54;0.8;0.54;5.33;4.5;3
通粉;1;124;26.54;0.8;0.54;5.33;2.8;3
全麥餅;1;423;76.8;31.1;10.1;6.9;2.8;605
全麥麵包;1;306;51.16;5.77;4.07;16.27;9.2;583
小麥麵包;1;313;55.77;6.42;4.27;12.96;4.7;611
白麵包;1;293;54.4;4.74;4;9;2.5;592
紙包蛋糕;1;330;40;20;15;9.1;1.2;100
冬甩;1;418;45.63;16.28;23.55;5.87;1.6;557
即食燕麥;1;430;79.9;35.45;9.8;6;1.8;432
麥片;1;368;67.3;0;7.4;12.4;8.6;20.9
蕎麥麵;1;99;21.44;0;0.1;5.06;0;60
朱古力粒曲奇;1;423;65.86;0;22.08;5.25;0;342
朱古力蛋糕;1;367;54.6;0;16.4;4.1;2.8;334
海綿蛋糕;1;289;61.1;36.66;2.7;5.4;0.5;244
牛油曲奇;1;467;68.9;0;18.8;6.1;0.8;351
牛角包;1;406;45.8;11.26;21;8.2;2.6;744
班戟;1;194;36.7;0;2.5;5.2;1.3;628
白飯;1;130;28.59;0;0.21;2.38;0;0
糙米飯;1;153;31.8;0.3;1;2.9;1.5;3
薏米;1;90;16.6;0;0.7;2.4;2.9;11
米粉;1;109;24.9;0;0.2;0.91;1;19
即食米粉;1;371;70.2;8;6.8;7.3;1.6;2385
河粉;1;220;49.3;0;0.6;4.3;0.2;114
粥;1;46;10.2;0;0.1;0.8;0.1;1
芝士蛋糕;1;321;25.5;21.8;22.5;5.5;0.4;207
藍莓批;1;232;34.9;9.89;10;1.8;1;325
餅乾;1;365;48.5;3.48;16.5;6.2;1.3;1052
年糕;1;156;34.7;0;0.6;3.3;0.8;56.4
油條;1;388;51;0;17.6;6.9;0.9;585.2
月餅;1;411;65.6;0;13.6;8.2;3.1;22.4
饅頭;1;223;47;0;1.1;7;1.3;165.1
菠蘿包 ;1;360;53;14;13;8.6;1.8;140
蛋撻;1;310;33;15;17;5.8;0;170
西多士, 不包括牛油, 人造牛油和糖漿;1;340;24;2.2;22;11;1.5;280
雞蛋仔;1;350;54;16;13;5.2;2;110
四季豆;2;129;24.02;0;0.76;7.05;9.4;6
紅腰豆;2;127;22.8;0.32;0.5;8.67;7.4;2
紅豆;2;128;24.77;0;0.1;7.52;7.3;8
綠豆;2;105;19.15;2;0.38;7.02;7.6;2
腐乳;2;116;5.15;0;8;8.15;0;2873
腰豆;2;127;22.8;0.32;0.5;8.67;6.4;1
豆腐;2;82;4.2;0;3.7;8.1;0.4;7.2
炸豆腐;2;271;10.49;2.72;20.18;17.19;3.9;16
豆角;2;47;8.35;0;0.4;2.8;0;4
青豆;2;77;13.62;5;0.4;5.22;4.5;108
黃豆;2;144;25.27;0;1.08;9.16;10.4;5
枝竹;2;478;20.8;0;24.7;44.4;2.7;83
涼粉;2;38;8.9;0;0.3;0.2;0.6;2.8
素雞;2;194;4.2;0;12.5;16.5;0.9;373.8
腐竹;2;461;22.3;0;21.7;44.6;1;26.5
荷蘭豆;2;30;4.9;0;0.3;2.5;1.4;8.8
佛手瓜;3;24;5.09;0;0.48;0.62;2.8;1
冬瓜;3;14;3.04;1.18;0.2;0.4;1;107
南瓜;3;20;4.9;1.02;0.07;0.72;1.1;1
大白菜;3;14;2.41;0;0.17;1.5;1.7;9
大豆芽;3;122;9.57;0;6.7;13.09;1.1;14
椰菜;3;23;5.51;2.79;0.06;1.27;1.9;8
洋?;3;44;10.15;4.73;0.19;1.36;1.4;3
炸洋?圈;3;332;37.74;0;18.69;4.46;0;518
海帶;3;43;9.57;0.6;0.56;1.68;1.3;233
甘筍;3;35;8.22;3.45;0.18;0.76;3;58
蘿蔔;3;16;3.4;1.86;0.1;0.68;1.6;39
番薯;3;90;20.71;6.48;0.15;2.01;3.3;36
白甜粟米;3;97;21.71;7.73;1.41;3.34;2.7;3
黃甜粟米;3;86;18.7;6.26;1.35;3.27;2;15
黃甜粟米濃湯;3;72;18.13;3.23;0.42;1.74;1.2;285
白蘑菇;3;28;5.29;2.34;0.47;2.17;2.2;2
白馬鈴薯;3;69;15.71;1.15;0.1;1.68;2.4;6
白蘿蔔;3;14;2.63;0;0.1;1.1;1.4;16
紅椰菜;3;29;6.94;3.32;0.09;1.51;2.6;28
番茄;3;18;4.01;2.49;0.11;0.95;0.7;11
紅菜頭;3;44;9.96;7.96;0.18;1.68;2;77
紅辣椒;3;40;8.81;5.3;0.44;1.87;1.5;9
紫菜;3;35;5.11;0.49;0.28;5.81;0.3;48
羅馬生菜;3;17;3.29;1.19;0.3;1.23;2.1;8
羽衣甘藍;3;26;4.91;0.4;0.36;2.11;2.8;16
芋頭;3;142;34.6;0.49;0.11;0.52;5.1;15
芥菜;3;15;2.1;0.1;0.24;2.26;2;16
翠玉瓜;3;15;2.69;2.97;0.36;1.14;1;3
芫荽;3;23;3.67;0.87;0.52;2.13;2.8;46
茄子;3;35;8.73;3.2;0.23;0.83;2.5;1
茼萵;3;20;4.31;2.01;0.09;1.64;2.3;53
菠菜;3;23;3.75;0.43;0.26;2.97;2.4;70
蒜頭;3;149;33.06;1;0.5;6.36;2.1;17
蓮藕;3;66;16.02;0.5;0.07;1.58;3.1;45
薑;3;80;17.77;1.7;0.75;1.82;2;13
蘆筍;3;22;4.11;1.3;0.22;2.4;2;240
西芹;3;18;4;2.37;0.16;0.83;1.6;91
西蘭花;3;35;7.18;1.39;0.41;2.38;3.3;41
通菜;3;20;3.71;0;0.24;2.08;1.9;122
金菇;3;37;7.81;0.22;0.29;2.66;2.7;3
青瓜;3;12;2.16;1.38;0.16;0.59;0.7;2
韭?;3;31;7.62;2.11;0.2;0.81;1;10
香菇;3;56;14.39;0;0.22;1.56;2.1;4
馬鈴薯;3;87;20.13;0.87;0.1;1.87;1.8;4
焗薯;3;93;21.55;1.7;0.1;1.96;1.5;5
菜心;3;13;0.17;0.39;0.4;2.1;1.6;21
生菜;3;24;0.6;1;2;0.87;1.9;23
士多啤梨;4;32;7.68;4.89;0.3;0.67;2;1
大樹菠蘿;4;94;24.01;0;0.3;1.47;1.6;3
小紅莓;4;46;12.2;4.04;0.13;0.39;4.6;2
柚子;4;38;9.62;0;0.04;0.76;1;1
桃;4;39;9.54;8.39;0.25;0.91;1.5;0
梨;4;58;15.46;9.8;0.12;0.38;3.1;1
榴槤;4;147;27.09;0;5.33;1.47;3.8;2
檸檬;4;29;9.32;2.5;0.3;1.1;2.8;2
牛油果;4;160;8.53;0.66;14.66;2;6.7;7
車厘子;4;63;16.01;12.82;0.2;1.06;2.1;0
番石榴;4;68;14.32;8.92;0.95;2.55;5.4;2
芒果;4;65;17;14.8;0.27;0.51;1.8;2
荔枝;4;66;16.53;15.23;0.44;0.83;1.3;1
藍莓;4;57;14.49;9.96;0.33;0.74;2.4;1
菠蘿;4;50;13.12;9.85;0.12;0.54;1.4;1
蘋果;4;52;13.81;10.39;0.17;0.26;2.4;1
蜜柑;4;53;13.34;10.58;0.31;0.81;1.8;2
哈蜜瓜;4;34;7.9;0;0.1;0.5;0.2;26.7
蜜瓜;4;36;9.09;8.12;0.14;0.54;0.8;18
西瓜;4;30;7.55;6.2;0.15;0.61;0.4;1
金奇異果;4;60;14.23;10.98;0.56;1.23;2;3
香蕉;4;89;22.84;12.23;0.33;1.09;2.6;1
龍眼;4;60;15.14;0;0.1;1.31;1.1;0
火龍果;4;56;9.6;7.6;1.4;1.1;1.7;0
木瓜;4;34;6.9;6.9;0.1;0.4;2.3;7
橙;4;47;11.75;9.35;0.12;0.94;2.4;0
夏威夷果仁;5;718;13.82;4.57;75.77;7.91;8.6;5
杏仁;5;575;21.67;3.89;49.42;21.22;12.2;1
栗子;5;154;34.91;0;0.53;2.25;0;14
腰果;5;553;30.19;5.91;43.85;18.22;3.3;12
芝麻;5;565;25.74;0;48;16.96;14;11
白芝麻;5;606;0.9;0.6;55.6;22.2;10.1;24
花生;5;567;16.13;3.97;49.24;25.8;8.5;18
花生醬;5;588;19.56;9.22;50.39;25.09;6;459
無鹽花生醬;5;588;19.56;9.22;50.39;25.09;6;17
開心果;5;562;27.51;7.66;45.39;20.27;10.3;1
蓮子;5;350;67.2;0;2;17.2;3;5.1
豬排;6;255;0;0;15.28;27.43;0;46
免治豬肉;6;301;0;0;21.39;27.14;0;89
瘦豬肉;6;143;1.5;0;6.2;20.3;0;57.5
肥豬肉;6;635;0;0;66.2;8.86;0;29
豬肚;6;110;0.7;0;5.1;15.2;0;75.1
豬肝;6;129;5;0;3.5;19.3;0;68.6
牛肉;6;125;2;0;4.2;19.9;0;84.2
免治牛肉;6;232;0;0;14.02;24.62;0;79
牛雜;6;150;1.9;1.3;8.6;17;0;600
牛柳;6;267;0;0;17.12;26.46;0;54
牛排;6;236;0;0;14.5;26.3;0;45
香腸;6;508;11.2;0;40.7;24.1;0;2309.2
火腿;6;180;4.2;0;10.3;16.5;0;1330
午餐肉;6;334;2.1;0;30.3;12.5;0;1289
羊肉;6;203;0;0;14.1;19;0;80.6
烤羊肉串;6;206;2.4;0;10.3;26;0;484.8
羊架;6;279;0;0;18.9;27.2;0;57
乳豬;6;410;1.6;1.4;36;20;0;550
叉燒;6;300;9.4;4.6;17;25;0;660
金華火腿;6;318;0.1;0;28;16.4;0;233.4
免治牛肉漢堡;6;216;0;0;12.1;26.7;0;100
煙肉片;6;155;3.1;1.8;5.8;21.9;1.1;2000
炸雞腿;7;293;9.35;0.00;20.35;18.20;0.6;618
烤雞腿;7;172;0.00;0.00;5.66;28.29;0.0;95
炸雞翼;7;319;10.93;0.00;21.06;21.34;0.6;701
烤雞翼;7;203;0.00;0.00;8.13;30.46;0.0;92
炸雞肉;7;437;21.09;0.00;33.82;12.06;1.3;766
雞胸肉;7;197;0.00;0.00;7.78;29.80;0.0;71
雞腿肉;7;232;0.00;0.00;13.46;25.96;0.0;87
雞翼;7;290;0.00;0.00;19.46;26.86;0.0;82
鴨肉;7;337;0.00;0.00;28.35;18.99;0.0;59
鵝肉;7;305;0.00;0.00;21.92;25.16;0.0;70
烤雞;7;240;0.1;0;16.7;22.4;0;472.3
燒鵝;7;289;4.2;0;21.5;19.7;0;240.0
燒鴨;7;290;1.1;0.89;22;22;0;380
鵝肝;7;129;9.3;0;3.4;15.2;0;70.2
炒蛋;8;212;2.08;1.64;16.18;13.84;0;224
水煮蛋;8;150;0.3;0.3;11.2;12.2;0;87
煎蛋;8;190;1.4;0.04;15;14;2;140
鹹鴨蛋;8;190;6.3;0;12.7;12.7;0;2706.1
鵝蛋;8;196;2.8;0;15.6;11.1;0;90.6
低脂奶;9;42;4.99;5.2;0.97;3.37;0;44
全脂奶;9;64;4.7;4.2;3.7;3.1;0;40
奶昔;9;110;14;12;5.2;1.3;0;41
忌廉芝士;9;342;4.07;3.21;34.24;5.93;0;321
芝士火鍋;9;229;3.77;0;13.47;14.23;0;132
乳酪;10;127;21.6;19.92;3.6;3;0;63
